organizationName,orgID,orgID_URL,orgSubtype,businessSector,busSect_description,busSectID,Business_ClassCode,EconomicSectID_URL,HQ_Address,HQ_PhoneNumber,orgURL,primaryTicker,hasHoldingClassification,LEI
H&M Finance BV,4297628655,https://permid.org/1-4297628655,Special Purpose Vehicle,Real Estate,"Developers and managers of real estate operations and related services. Includes residential, commercial and specialized real estate investment trusts.",4294952860,6010,https://permid.org/1-1004365438,"58 Avenue Emile Zola
Tsa 48002
Boulogne-Billancourt Cedex
BOULOGNE-BILLANCOURT
ILE-DE-FRANCE
92649
France
",33158336300,https://www.carmila.com/,,,222100P6D3QKU33LZQ72
Sagax EURO MTN NL BV,5080029819,https://permid.org/1-5080029819,Special Purpose Vehicle,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Vareseweg 105


ROTTERDAM
ZUID-HOLLAND
3047AT
Netherlands
",,,,,549300LGLOQFR0NQEZ82
Wizz Air Finance Company BV,4295869198,https://permid.org/1-4295869198,Special Purpose Vehicle,Chemicals,"Producers and refiners of agricultural, commodity and specialty chemicals.",4294952988,5110,https://permid.org/1-4294952774,"Carl-Bosch-Str. 38
LUDWIGSHAFEN AM RHEIN
RHEINLAND-PFALZ
67056
Germany
",49621600,https://www.basf.com/,,,529900PM64WH8AF1E917
Digital Intrepid Holding BV,5080029858,https://permid.org/1-5080029858,Company,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Vareseweg 105


ROTTERDAM
ZUID-HOLLAND
3047AT
Netherlands
",,,,,549300NZCU7GI52SSK89
BP Capital Markets PLC,4295866610,https://permid.org/1-4295866610,Special Purpose Vehicle,Cyclical Consumer Services,"Providers of accommodation, entertainment and leisure services, marketing and advertising services and media & publishing services.",4294952915,5330,https://permid.org/1-4294952746,"133 avenue des Champs-Elysees
PARIS
ILE-DE-FRANCE
75008
France
",33144437000,https://www.publicisgroupe.com/,,,2138004KW8BV57III342
Global Switch Finance BV,4295867394,https://permid.org/1-4295867394,Company,Automobiles & Auto Parts,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products.",4294952931,5310,https://permid.org/1-4294952746,"43 rue Bayen
PARIS
ILE-DE-FRANCE
75017
France
",33140552020,http://www.valeo.com/,,,5493006IH2N2WMIBB742
Edenred SA,4295867261,https://permid.org/1-4295867261,Company,Cyclical Consumer Products,"Manufacturers and producers of durable goods such as household goods, as well as textiles, Apparel & Accessories. Includes homebuilders.",4294952745,5320,https://permid.org/1-4294952746,"147 rue de Paris
CHARENTON-LE-PONT
ILE-DE-FRANCE
94220
France
",33149774224,https://www.essilorluxottica.com/,EDEN,publiclyHeld,549300M3VH1A3ER1TB49
Diageo Capital BV,4295867424,https://permid.org/1-4295867424,Company,Food & Beverages,"Producers and processors of food, beverages and tobacco. Includes operators of farms and fisheries, as well as brewers, distillers and distributors, and packagers of Food & Beverages.",4294952894,5410,https://permid.org/1-4294952895,"5 Cours Paul Ricard
Paris Cedex 08

PARIS
ILE-DE-FRANCE
75380
France
",33170931600,https://www.pernod-ricard.com/,,,52990097YFPX9J0H5D87
Carmila SA,4295869106,https://permid.org/1-4295869106,REIT,Chemicals,"Producers and refiners of agricultural, commodity and specialty chemicals.",4294952988,5110,https://permid.org/1-4294952774,"Bertha-von-Suttner-Strasse 7
KASSEL
HESSEN
34131
Germany
",4956193010,http://www.k-plus-s.com/,CARM,publiclyHeld,529900YURAYD4IJX2J91
Societe des Autoroutes du Nord et de l'Est de la France {SANEF},4296777983,https://permid.org/1-4296777983,Unknown,Insurance,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",4294952866,5530,https://permid.org/1-4294952740,"Keizersgracht 484
AMSTERDAM
NOORD-HOLLAND
1017 EH
Netherlands
",31205569710,,,,529900C9NVPTCPDI1D65
CEPD CTP BV,4295867170,https://permid.org/1-4295867170,Unknown,Retailers,"Retailers that operate department, discount, catalog and internet, apparel & accessories, computers and electronics and other specialty stores.",4294952903,5340,https://permid.org/1-4294952746,"40 Rue de Sevres
PARIS
ILE-DE-FRANCE
75007
France
",33145646100,https://www.kering.com/,,,549300VGEJKB7SVUZR78
Danfoss Finance I BV,4296432601,https://permid.org/1-4296432601,Company,Banking & Investment Services,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services.",4294952739,5510,https://permid.org/1-4294952740,"Groningensingel 1
ARNHEM
GELDERLAND
6835EA
Netherlands
",,,,,724500670HAI5ERPDA03
BASF SE,5036394213,https://permid.org/1-5036394213,Company,Chemicals,"Producers and refiners of agricultural, commodity and specialty chemicals.",4294952988,5110,https://permid.org/1-4294952774,"Hettenheuvelweg 37 39
AMSTERDAM
NOORD-HOLLAND
1101BM
Netherlands
",,,BAS,publiclyHeld,529900V4EL3Z70ZS1Q16
Danfoss Finance II BV,5040171243,https://permid.org/1-5040171243,Company,Real Estate,"Developers and managers of real estate operations and related services. Includes residential, commercial and specialized real estate investment trusts.",4294952860,6010,https://permid.org/1-1004365438,"Apollolaan 133-135
AMSTERDAM
NOORD-HOLLAND
1077 AR
Netherlands
",31206077516,https://www.vonoviafinance.nl/,,,5299009XLZLD9TALOZ03
Publicis Groupe SA,5043321284,https://permid.org/1-5043321284,Company,Software & IT Services,"Developers and marketers of generic system and application software, as well as providers of consulting and IT services.",4294952830,5720,https://permid.org/1-4294952723,"Dietmar-Hopp-Allee 16
WALLDORF
BADEN-WUERTTEMBERG
69190
Germany
",496227747474,https://www.sap.com/,PUB,publiclyHeld,529900D6BF99LW9R2E68
Valeo SE,4295866923,https://permid.org/1-4295866923,Company,Real Estate,"Developers and managers of real estate operations and related services. Includes residential, commercial and specialized real estate investment trusts.",4294952860,6010,https://permid.org/1-1004365438,"26 boulevard des Capucines
Cs 20062
PARIS
ILE-DE-FRANCE
75009
France
",33140675740,http://www.klepierre.com,FR,publiclyHeld,969500PB4U31KEFHZ621
EssilorLuxottica SA,4295868692,https://permid.org/1-4295868692,Company,Retailers,"Retailers that operate department, discount, catalog and internet, apparel & accessories, computers and electronics and other specialty stores.",4294952903,5340,https://permid.org/1-4294952746,"Kaistr. 3
DUESSELDORF
NORDRHEIN-WESTFALEN
40221
Germany
",4921154087000,https://www.ceconomy.de/,EL,publiclyHeld,5299001X9L42HXEBCZ51
